r (cm),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
0,0.59755,0.507825,0.526225,0.55645,0.589185928,0.625675,0.659834186,0.69125,0.721071909,0.747902819,0.77015,0.787061692,0.80125,0.81541888,0.829408223,0.842375,0.853688266,0.863565418,0.872435937,0.880729304,0.888875,0.897287851,0.905862528,0.914248279,0.922094353,0.92905,0.934362316,0.93793273,0.940391985,0.942370827,0.9445,0.947121646,0.950045433,0.953103397,0.956127574,0.95895,0.961551694,0.963960408,0.966078275,0.967807428,0.96905,0.969893506,0.970678527,0.971686794,0.973200041,0.9755,0.978746314,0.982610273,0.986641074,0.990387916,0.9934,0.995252856,0.996053243,0.996147203,0.995880775,0.9956,0.99557578,0.995778462,0.996103254,0.996445364,0.9967,0.996863665,0.997007834,0.99714017,0.997268337,0.9974,0.997538991,0.997673813,0.997789141,0.997869645,0.9979,0.997917493,0.997968275,0.998050309,0.998161563,0.9983,0.998460956,0.998629247,0.99878706,0.998916582,0.999,0.999035652,0.99904964,0.999065803,0.999107977,0.9992,0.999355772,0.999549443,0.999745229,0.999907343,1,0.999948423,0.999750069,0.999477503,0.999203291,0.999,0.99888824,0.998829092,0.998805823,0.998801703,0.9988,0.998788445,0.998772621,0.998762575,0.998768353,0.9988,0.998847901,0.998890185,0.998918519,0.998924569,0.9989,0.99883092,0.998711946,0.998547512,0.998342053,0.9981,0.997826619,0.997530502,0.997221076,0.996907766,0.9966,0.996264,0.995898222,0.995560445,0.995308445,0.9952,0.995240419,0.995270147,0.995099666,0.994539457,0.9934,0.991073469,0.987515111,0.983380018,0.979323284,0.976,0.973843584,0.972598585,0.971886795,0.971330003,0.97055,0.969250499,0.967462712,0.965299675,0.962874425,0.9603,0.957644033,0.9549397,0.95224835,0.949631334,0.94715,0.944801167,0.942323153,0.939389554,0.935673971,0.93085,0.92472584,0.917524876,0.909543493,0.901078073,0.892425,0.883784937,0.874975538,0.865718671,0.855736203,0.84475,0.831938965,0.816620673,0.798725,0.77810826,0.754725,0.728913506,0.702056976,0.6758,0.649345622,0.6075,0.545513357,0.511175,0.51382,0.40249,0.29116
0.25,0.59755,0.507825,0.526225,0.55645,0.589539706,0.625675,0.659526446,0.69125,0.721100035,0.747908091,0.77015,0.787071033,0.80125,0.815432637,0.829443064,0.842375,0.853534922,0.863206049,0.871947216,0.880317255,0.888875,0.898012628,0.907289434,0.916014925,0.923498611,0.92905,0.933016898,0.936342602,0.939229857,0.941881408,0.9445,0.94724642,0.950113628,0.953052626,0.956014416,0.95895,0.961630428,0.963907905,0.965855169,0.967544955,0.96905,0.970241772,0.971159013,0.972125368,0.973464482,0.9755,0.978574624,0.982449949,0.986577962,0.99041065,0.9934,0.99515067,0.995877996,0.995949989,0.995734654,0.9956,0.995698722,0.995906138,0.996174193,0.996454833,0.9967,0.996875146,0.996999742,0.997106765,0.997229192,0.9974,0.997575865,0.997700407,0.997787016,0.997849084,0.9979,0.997951909,0.99801196,0.998086058,0.998180104,0.9983,0.998449428,0.998614538,0.998774933,0.998910219,0.999,0.999033061,0.999034907,0.999040222,0.999083692,0.9992,0.999407665,0.999657846,0.999884196,1.000020364,1,0.999838749,0.999621143,0.999384163,0.999164788,0.999,0.99890976,0.998871482,0.998858323,0.998843443,0.9988,0.998753888,0.99874167,0.998752508,0.998775564,0.9988,0.998817669,0.99883119,0.998845877,0.998867042,0.9989,0.99889091,0.998791982,0.998617598,0.998382143,0.9981,0.997846943,0.997641661,0.997412907,0.997089435,0.9966,0.99613806,0.99587358,0.995700069,0.995511039,0.9952,0.995255838,0.99578456,0.996105364,0.995537445,0.9934,0.989948835,0.986129477,0.982295702,0.978801284,0.976,0.974131828,0.972981635,0.972220528,0.971519614,0.97055,0.969120956,0.967309181,0.965186929,0.962826451,0.9603,0.957675263,0.955002214,0.952326534,0.949693902,0.94715,0.94474214,0.942255593,0.939342976,0.935656906,0.93085,0.924691501,0.917417244,0.909379737,0.900931487,0.892425,0.884131813,0.875740162,0.866727606,0.856571699,0.84475,0.831333485,0.816241688,0.798725,0.778197253,0.754725,0.728471832,0.701258452,0.6758,0.650010455,0.6075,0.543755615,0.511175,0.51382,0.40249,0.29116
0.5,0.5729,0.51405,0.53295,0.5628,0.596069318,0.63105,0.664111466,0.6951,0.724229744,0.750151469,0.7717,0.788498065,0.8028,0.81684593,0.83053767,0.84315,0.854289926,0.864216717,0.873183546,0.881443583,0.88925,0.897053168,0.904928706,0.91256766,0.919661076,0.9259,0.930905181,0.934753112,0.937818453,0.940475862,0.9431,0.945982153,0.949071591,0.952229954,0.955318878,0.9582,0.960766881,0.963019322,0.964978322,0.966664882,0.9681,0.969442701,0.970828427,0.972242802,0.973671451,0.9751,0.976529603,0.97798436,0.979484316,0.981049514,0.9827,0.984128812,0.985130665,0.985878111,0.986543705,0.9873,0.988165974,0.989018926,0.98981889,0.990525903,0.9911,0.991620333,0.992183819,0.992777137,0.993386971,0.994,0.994604219,0.995180432,0.995704535,0.996152425,0.9965,0.996824029,0.997200828,0.997605613,0.998013598,0.9984,0.998621104,0.998622495,0.998513333,0.998402781,0.9984,0.998588282,0.998915855,0.999289288,0.999615147,0.9998,0.999864539,0.999901771,0.999926733,0.999954463,1,1.000154295,1.000419542,1.000677641,1.000810494,1.0007,1.000303966,0.999741739,0.999137529,0.998615546,0.9983,0.998181389,0.998141276,0.998140468,0.998139773,0.9981,0.997956666,0.997692851,0.997340702,0.996932369,0.9965,0.996110849,0.995768952,0.99541163,0.994976206,0.9944,0.993696462,0.992962373,0.992260053,0.991651822,0.9912,0.990708008,0.989991436,0.98913086,0.988206856,0.9873,0.986108605,0.984527522,0.982932137,0.981697834,0.9812,0.98094819,0.980253936,0.979195587,0.977851492,0.9763,0.974864121,0.973671252,0.972506322,0.971154262,0.9694,0.967352527,0.965250045,0.963071299,0.960795035,0.9584,0.955904239,0.953338523,0.950700688,0.947988568,0.9452,0.942306203,0.939171625,0.935633946,0.931530845,0.9267,0.921025863,0.914594177,0.90754456,0.900016629,0.89215,0.884063413,0.875599563,0.866484007,0.856442301,0.8452,0.832468935,0.8177717,0.80055,0.780596171,0.75825,0.733533056,0.7072637,0.6809,0.65362776,0.6133,0.553272847,0.51835,0.51894,0.40908,0.29922
0.75,0.544437188,0.52070521,0.540141971,0.569553643,0.602445438,0.636779926,0.669284742,0.69921695,0.72741797,0.752127561,0.773394799,0.790136456,0.804485101,0.818568407,0.831788553,0.84401989,0.855025038,0.865077948,0.874226738,0.882267816,0.889679837,0.896712662,0.903323936,0.909803281,0.916327117,0.922344635,0.927440312,0.931872612,0.935812987,0.938809056,0.941593296,0.944800592,0.948123475,0.951319153,0.954562301,0.957490405,0.959969834,0.962133196,0.964005647,0.965626993,0.96712102,0.968600168,0.970104636,0.971599549,0.973116845,0.974684493,0.976216844,0.977562797,0.978476194,0.978683786,0.979352557,0.980649801,0.981824916,0.98238541,0.983413415,0.984584403,0.985465073,0.98617326,0.987576837,0.988628062,0.989484087,0.990449733,0.991507399,0.992310662,0.993753841,0.994523872,0.994541317,0.994603101,0.995283932,0.995880601,0.996337463,0.996848695,0.997465616,0.997955412,0.998515687,0.999139106,0.99966828,1.000028366,1.00027896,1.000093599,0.999972138,1.000271752,1.000697957,1.000722427,1.000520775,1.000386594,1.000308738,1.000194369,1.000088313,1.000037113,1.000000129,0.999987286,1.000013959,1.000178094,1.000578975,1.000721483,1.000342008,0.999779706,0.999716911,1.000737644,1.001315261,1.000674625,0.99956988,0.999250627,0.998986925,0.998698703,0.998342865,0.997872093,0.997307042,0.997256673,0.997229033,0.996924951,0.996303953,0.995285687,0.994393991,0.993678408,0.993064031,0.992656363,0.992640117,0.992241276,0.991693948,0.990794971,0.989444461,0.988591415,0.987229019,0.98540701,0.983402891,0.9816585,0.980438691,0.978535106,0.976725938,0.976080157,0.976513753,0.977246425,0.97740446,0.976747468,0.975609751,0.974393286,0.972689629,0.970494307,0.968194715,0.965873864,0.963490975,0.96111904,0.958724705,0.956285254,0.95389121,0.951486841,0.94881072,0.946001234,0.943043946,0.939866254,0.936341199,0.932106005,0.927187301,0.921942469,0.916813379,0.91174428,0.905840802,0.899109727,0.89190914,0.884152668,0.875608165,0.86634434,0.856567843,0.845728562,0.833119608,0.818784651,0.80251828,0.783595742,0.761975238,0.737420498,0.712087272,0.686296202,0.659661654,0.619406431,0.558583936,0.525779832,0.524233135,0.416075347,0.307720686
1,0.5236,0.5265,0.5464,0.5755,0.608101328,0.6418,0.673589124,0.7028,0.72973783,0.754079001,0.7748,0.791453888,0.8059,0.819754554,0.832795202,0.8447,0.855482312,0.865383468,0.874423467,0.882622311,0.89,0.896690352,0.902886521,0.908697514,0.914232338,0.9196,0.924625737,0.929120712,0.933172818,0.936869949,0.9403,0.943735781,0.947272371,0.950731071,0.95393318,0.9567,0.959034697,0.961096562,0.962941079,0.96462373,0.9662,0.967745633,0.969311012,0.970913574,0.972570757,0.9743,0.976084812,0.977829134,0.97943105,0.980788644,0.9818,0.982564351,0.983311934,0.984137341,0.985135166,0.9864,0.987600276,0.988460985,0.989161556,0.989881418,0.9908,0.992192493,0.993936177,0.995613615,0.996807369,0.9971,0.996815044,0.996593622,0.996494678,0.996577157,0.9969,0.997352928,0.997819574,0.998349757,0.998993293,0.9998,1.00060807,1.001230333,1.00167856,1.001964525,1.0021,1.002020526,1.001724593,1.001318397,1.000908134,1.0006,1.000415705,1.000289119,1.000194681,1.000106829,1,0.999858341,0.999704829,0.999572146,0.999492975,0.9995,1.000102868,1.001455385,1.003056467,1.004405033,1.005,1.00456644,1.003425952,1.001972244,1.000599024,0.9997,0.999426547,0.999504468,0.999689116,0.999735843,0.9994,0.9986367,0.997660513,0.996615976,0.995647626,0.9949,0.994485383,0.994387051,0.994556027,0.994943336,0.9955,0.995391949,0.994117826,0.992127729,0.989871754,0.9878,0.98589087,0.983908144,0.981979982,0.980234547,0.9788,0.977940077,0.977627892,0.977555668,0.977415629,0.9769,0.975762711,0.974063351,0.971952637,0.969581282,0.9671,0.964605393,0.962099387,0.959590685,0.957087988,0.9546,0.952158977,0.949718212,0.947167958,0.944398469,0.9413,0.937670077,0.93345368,0.928762244,0.923707206,0.9184,0.913239818,0.908322826,0.903305926,0.897846018,0.8916,0.884349309,0.876132052,0.866990141,0.856965487,0.8461,0.833891118,0.819885746,0.8042,0.786268873,0.7653,0.74140842,0.716069767,0.6911,0.66623991,0.6249,0.566194022,0.5327,0.52918,0.42226,0.31534
1.25,0.515597384,0.531933708,0.552631783,0.581399785,0.613635329,0.646720867,0.677764797,0.706271883,0.731894506,0.755621853,0.775941321,0.792413918,0.807153141,0.82080935,0.833616942,0.845173683,0.855849557,0.865636329,0.87462847,0.88277257,0.890179686,0.896751023,0.902655885,0.908056543,0.913090649,0.917971078,0.922831311,0.927538659,0.931799915,0.93563728,0.939147646,0.942720539,0.946379489,0.949822115,0.952936728,0.955507069,0.957901137,0.959919021,0.961793562,0.963513923,0.965162739,0.966797186,0.9684431,0.970148756,0.972032375,0.973887769,0.975546411,0.977382718,0.979517663,0.981512943,0.982962085,0.983651485,0.984192109,0.984914007,0.98625001,0.987445937,0.988287143,0.988959464,0.989508223,0.990440084,0.991102856,0.992302333,0.993490662,0.995368644,0.996833883,0.997722671,0.997838985,0.997274744,0.996945194,0.996766565,0.996892342,0.997234596,0.997604288,0.998090538,0.998872751,0.999565387,1.000291416,1.001078033,1.001717009,1.002402135,1.002441639,1.002579084,1.002005218,1.001338241,1.00067706,1.000305456,1.000387187,1.000275129,1.00018839,1.000109251,0.999999674,0.999737734,0.999374223,0.999027695,0.998704953,0.998505559,0.999775336,1.001978947,1.00404141,1.005523121,1.005507149,1.005526988,1.004246013,1.002663945,1.000876844,0.99966569,0.999569403,0.999856731,1.000079696,1.000269617,0.999749834,0.999124202,0.997904555,0.996798966,0.995787756,0.995036,0.994782604,0.994961355,0.995437571,0.996430837,0.996707185,0.995940282,0.99437972,0.99218535,0.990584059,0.988570771,0.98705575,0.984989565,0.983207338,0.981532449,0.980115009,0.979031863,0.978290752,0.977784745,0.977222077,0.976413546,0.975224853,0.973359714,0.971057649,0.96849736,0.965959038,0.9635794,0.96104485,0.958492158,0.955939859,0.953444253,0.951037041,0.948616999,0.946077371,0.943200991,0.940032831,0.936192766,0.931723625,0.926866323,0.921721937,0.916691263,0.912044918,0.907600802,0.903020443,0.897533827,0.8910709,0.883957436,0.875811243,0.866839988,0.856963172,0.846237643,0.834306427,0.820686567,0.80573255,0.78887022,0.768670463,0.745222041,0.720354537,0.695986141,0.670166205,0.630505616,0.570749744,0.540151834,0.534298539,0.428502319,0.323135827
1.5,0.51793043,0.53802334,0.559125507,0.587511273,0.619289012,0.651825992,0.682223542,0.709876729,0.734625755,0.756978192,0.777113645,0.793620215,0.808459109,0.821935572,0.834514601,0.845666668,0.856131356,0.865923189,0.874806286,0.882923599,0.890364983,0.896997502,0.902772038,0.908034866,0.912778302,0.917332386,0.921871488,0.926311597,0.930651838,0.934639488,0.938245096,0.941852871,0.945494582,0.948840031,0.951611406,0.954147166,0.956553975,0.958782413,0.96063571,0.96242427,0.964179384,0.965905781,0.967667345,0.969693854,0.971741083,0.973526607,0.975070233,0.976565195,0.978227982,0.980515868,0.982246727,0.98296215,0.983562873,0.98503136,0.98631875,0.987218158,0.987812341,0.988421498,0.989394326,0.989738347,0.990242967,0.991366261,0.992647147,0.993522117,0.995107552,0.996469833,0.997181946,0.99722955,0.996632613,0.996299277,0.996328411,0.996561309,0.99687884,0.997566399,0.998171979,0.998662946,0.999303354,1.000200778,1.001151088,1.001278147,1.001259296,1.001458827,1.001593305,1.00088451,1.000073387,0.999674582,0.999856311,1.000226538,1.000202235,1.000117669,0.999999384,0.999680928,0.999204442,0.998681808,0.998030276,0.997952324,0.999421368,1.001790758,1.003475318,1.003520219,1.003358179,1.003434963,1.003324068,1.001752115,0.999987965,0.998805256,0.998685405,0.998953092,0.999348784,0.998997763,0.998429019,0.997849753,0.997136578,0.995789472,0.994758103,0.994053752,0.993842645,0.994202408,0.995224165,0.995626151,0.995271297,0.994047677,0.992437717,0.991425447,0.98941796,0.987465827,0.986101806,0.984836445,0.982798075,0.981217648,0.979897539,0.978731624,0.977788637,0.977143248,0.976412426,0.975511414,0.974254292,0.972524553,0.970200464,0.967509843,0.964915737,0.962581361,0.960304989,0.957821131,0.955273022,0.952804108,0.950453858,0.948057627,0.945365432,0.942520345,0.939284825,0.935346531,0.930786304,0.92596364,0.92117081,0.916510173,0.912243902,0.908063744,0.902947002,0.8969978,0.890524441,0.88346911,0.875601094,0.866637246,0.856924813,0.846374364,0.834607852,0.82165058,0.807305214,0.791673083,0.772158456,0.749163331,0.725387201,0.701049728,0.674760924,0.636236661,0.58102822,0.547289458,0.539669777,0.435112491,0.331204122
1.75,0.526173261,0.544576303,0.565981478,0.593967124,0.625268475,0.657293122,0.687024858,0.713793211,0.737757393,0.759207664,0.778679147,0.795426072,0.810035523,0.823412889,0.835480003,0.846451319,0.85667243,0.866271114,0.875211469,0.883334094,0.890742788,0.897392729,0.903194205,0.908353842,0.913094374,0.917452501,0.921771459,0.92598573,0.930078102,0.934052463,0.937744999,0.941369483,0.944770818,0.947714847,0.950441417,0.95298868,0.95537332,0.957627743,0.959769504,0.961655484,0.963506337,0.965357967,0.967465046,0.969630448,0.971625162,0.973327141,0.974755715,0.976071958,0.977386273,0.978838247,0.980683005,0.981579514,0.983039449,0.98433299,0.985521645,0.9864063,0.987077741,0.987924404,0.988277565,0.988538223,0.989011594,0.989948134,0.991096658,0.992268364,0.993128852,0.994432079,0.99528974,0.995699756,0.995912749,0.995632554,0.995550275,0.995719689,0.996163597,0.996579439,0.997089095,0.997579032,0.998316976,0.999123441,0.999346013,0.999415604,0.999447305,0.999595596,0.999798832,0.999905802,0.999441921,0.998956418,0.999083966,0.999511321,1.000039621,1.000133823,0.999999401,0.999646325,0.999053002,0.998225396,0.997679576,0.997747928,0.999238787,1.000360072,1.000370608,1.000244421,1.00013012,1.000076997,1.000055202,0.999951489,0.998865887,0.997742194,0.997610923,0.997705623,0.997359383,0.996940586,0.996418695,0.995788741,0.995111452,0.994407371,0.993368018,0.992669627,0.992550078,0.992999744,0.993023988,0.993018536,0.992599762,0.991595304,0.990815501,0.989173866,0.987340782,0.985627969,0.984268952,0.983089065,0.981942104,0.980305711,0.979006299,0.977820006,0.977038098,0.9763244,0.975532919,0.974553576,0.973206114,0.971458386,0.969392885,0.966885097,0.964189567,0.961790363,0.959542116,0.957399917,0.955065666,0.95263691,0.950317455,0.947842326,0.945281494,0.942403376,0.939094406,0.935105757,0.930776963,0.926364146,0.921823881,0.917323996,0.913128253,0.90823626,0.902695229,0.896697324,0.890240762,0.883204665,0.875435674,0.866846558,0.857226376,0.846823904,0.835408756,0.82279424,0.809150271,0.794354695,0.775742221,0.753724316,0.730338698,0.70623845,0.680435404,0.642099375,0.589522042,0.554307353,0.544916127,0.441886417,0.339400356
2,0.5359,0.5514,0.5733,0.6009,0.631842137,0.6633,0.692245985,0.7182,0.741402716,0.762220794,0.781,0.797596178,0.8121,0.825154273,0.837015002,0.8478,0.857797033,0.867195415,0.875965281,0.884076764,0.8915,0.898113354,0.903921074,0.909082116,0.91375544,0.9181,0.922288845,0.926374736,0.930336205,0.934151782,0.9378,0.941202418,0.944322395,0.947201164,0.949879955,0.9524,0.954797233,0.957086401,0.959276952,0.961378336,0.9634,0.965479956,0.967657924,0.969795913,0.971755935,0.9734,0.974716706,0.97585801,0.976930961,0.978042608,0.9793,0.980696328,0.982105846,0.9834572,0.984679036,0.9857,0.986434601,0.986927711,0.987303521,0.987686221,0.9882,0.988921454,0.989799503,0.990766825,0.991756098,0.9927,0.993490896,0.994082159,0.994497974,0.994762526,0.9949,0.995050191,0.995328177,0.995721067,0.996215972,0.9968,0.997304755,0.997609113,0.997771094,0.997848716,0.9979,0.998022084,0.998217307,0.998401487,0.998490445,0.9984,0.998463677,0.998904878,0.999474242,0.999922404,1,0.99955945,0.998819318,0.998079462,0.997639737,0.9978,0.998137039,0.998122867,0.997900176,0.997611656,0.9974,0.997364788,0.997433156,0.997489131,0.997416737,0.9971,0.996639744,0.996196311,0.995743006,0.995253134,0.9947,0.994069299,0.993396294,0.99272864,0.99211399,0.9916,0.991200669,0.990879336,0.990607669,0.990357335,0.9901,0.989538918,0.988505091,0.987161804,0.985672345,0.9842,0.982871976,0.981671158,0.980544352,0.979438364,0.9783,0.977283391,0.976480912,0.975746738,0.974935043,0.9739,0.972525614,0.970815232,0.968802044,0.966519237,0.964,0.961531794,0.959303048,0.957198406,0.955102509,0.9529,0.950615189,0.948262688,0.945712593,0.942834998,0.9395,0.935733843,0.931693931,0.927447097,0.923060176,0.9186,0.913882747,0.908693671,0.903053222,0.896981849,0.8905,0.883501581,0.875817067,0.867371762,0.858090972,0.8479,0.836715699,0.824556483,0.8115,0.797123888,0.7794,0.758130397,0.735221764,0.7115,0.685688507,0.6481,0.595288988,0.5614,0.54966,0.44862,0.34758
2.25,0.544496953,0.5583448,0.58109358,0.608320042,0.638958796,0.669932497,0.698206013,0.723121478,0.745700189,0.765835313,0.784315533,0.800586136,0.814802418,0.827661198,0.839345859,0.849885611,0.85962839,0.868920183,0.877525714,0.88548429,0.892757347,0.899259623,0.904997496,0.910095437,0.914770049,0.919060055,0.923229723,0.927241126,0.931120466,0.934798982,0.938494896,0.941722108,0.944872504,0.947629839,0.950175706,0.952627465,0.95508943,0.957486541,0.959775625,0.961858706,0.96401796,0.965886525,0.968024408,0.970190614,0.972181345,0.973804628,0.975017263,0.976151863,0.977010715,0.977833323,0.978886438,0.980348957,0.981902405,0.983344297,0.984476812,0.985620223,0.986388709,0.986840868,0.987241417,0.987646411,0.988382815,0.988916395,0.989733023,0.990540444,0.991395485,0.992100538,0.992680096,0.993475852,0.994026473,0.994404438,0.994643933,0.994866975,0.995187156,0.9956065,0.996042407,0.996684716,0.997124752,0.997278657,0.997314914,0.997214174,0.997286065,0.997250279,0.997542296,0.997847561,0.998105281,0.998194907,0.99842026,0.9990186,0.999722298,1.000021633,1.000000952,0.999760678,0.999319075,0.998537977,0.99802753,0.998026332,0.998209169,0.998106215,0.997483322,0.996775895,0.996369857,0.9965788,0.997029952,0.997445993,0.9974231,0.997340955,0.996552097,0.996007455,0.995361926,0.994672964,0.994018695,0.993466024,0.992921856,0.992374411,0.991773842,0.991397668,0.990765025,0.990348042,0.989871311,0.989404066,0.988856792,0.988434432,0.987947605,0.986751317,0.985376354,0.984031861,0.982877997,0.98186166,0.980894323,0.979633764,0.9784271,0.977260204,0.976406707,0.975667468,0.974853182,0.973814912,0.972492454,0.970881859,0.968966374,0.966750618,0.964482789,0.96221232,0.960081713,0.958054726,0.955815631,0.953534157,0.951243862,0.948967108,0.946520924,0.943747895,0.940477395,0.936723663,0.932848494,0.928679469,0.924360387,0.91989568,0.915060762,0.909733803,0.903966365,0.897789025,0.891479655,0.884602409,0.877144875,0.86885097,0.859758301,0.849806099,0.838996264,0.827236679,0.814498014,0.800058892,0.783050044,0.762605771,0.740157593,0.716776938,0.691621137,0.654081413,0.60415207,0.56869457,0.554556725,0.455261561,0.355677781
