r (cm),g_L(r)
0,0.986069336
0.101010101,0.978208423
0.202020202,0.986281957
0.303030303,0.994535024
0.404040404,0.997059257
0.505050505,0.997170955
0.606060606,0.997707027
0.707070707,0.99862857
0.808080808,0.999310523
0.909090909,0.99966594
1.01010101,1.000050157
1.111111111,1.000731574
1.212121212,1.001681268
1.313131313,1.002815344
1.414141414,1.004049908
1.515151515,1.0053011
1.616161616,1.00650059
1.717171717,1.007619964
1.818181818,1.008637139
1.919191919,1.009530028
2.02020202,1.010276602
2.121212121,1.010866664
2.222222222,1.011316419
2.323232323,1.01164564
2.424242424,1.011874106
2.525252525,1.012021591
2.626262626,1.012107871
2.727272727,1.012152723
2.828282828,1.012175921
2.929292929,1.012197243
3.03030303,1.012236341
3.131313131,1.012303456
3.232323232,1.01239287
3.333333333,1.012497316
3.434343434,1.012609532
3.535353535,1.012722252
3.636363636,1.012828211
3.737373737,1.012920146
3.838383838,1.012990791
3.939393939,1.013032883
4.04040404,1.0130392
4.141414141,1.01300424
4.242424242,1.012924732
4.343434343,1.012797552
4.444444444,1.012619578
4.545454545,1.012387689
4.646464646,1.01209876
4.747474747,1.011749669
4.848484848,1.011337295
4.949494949,1.010858515
5.050505051,1.010310412
5.151515152,1.009694827
5.252525253,1.009018359
5.353535354,1.008287812
5.454545455,1.007509989
5.555555556,1.006691696
5.656565657,1.005839736
5.757575758,1.004960914
5.858585859,1.004062035
5.95959596,1.003149902
6.060606061,1.002231026
6.161616162,1.001307512
6.262626263,1.000378074
6.363636364,0.99944134
6.464646465,0.998495938
6.565656566,0.997540494
6.666666667,0.996573635
6.767676768,0.99559399
6.868686869,0.994600186
6.96969697,0.993590849
7.070707071,0.992564608
7.171717172,0.991520089
7.272727273,0.99045592
7.373737374,0.989370728
7.474747475,0.988263141
7.575757576,0.987131786
7.676767677,0.985975291
7.777777778,0.984792282
7.878787879,0.983581386
7.97979798,0.982341233
8.080808081,0.981070447
8.181818182,0.979767658
8.282828283,0.978431493
8.383838384,0.977060577
8.484848485,0.97565354
8.585858586,0.974209009
8.686868687,0.97272561
8.787878788,0.971201971
8.888888889,0.969636719
8.98989899,0.968028482
9.090909091,0.966375888
9.191919192,0.964677562
9.292929293,0.962932134
9.393939394,0.961138229
9.494949495,0.959294477
9.595959596,0.957399502
9.696969697,0.955451934
9.797979798,0.9534504
9.898989899,0.951393526
10,0.949279941
